tag,x,y,stage,srcsheet
78,53.39,45.03,adult,2095 LA DATA
91,31.54,86.17,adult,2108 LA DATA
128,154.83,157.47,adult,2145 LA DATA
135,52,195.5,adult,2016LA_Mapped_Euterpe
142,59,196,adult,2016LA_Mapped_Euterpe
147,67,194,adult,2016LA_Mapped_Euterpe
241,75,164,adult,2149 LA DATA
308,104,116,adult,2016LA_Mapped_Euterpe
324,94,128,adult,2016LA_Mapped_Euterpe
340,91,150,adult,2016LA_Mapped_Euterpe
403,94,198,adult,2016LA_Mapped_Euterpe
404,95,197,adult,2016LA_Mapped_Euterpe
433,124.5,119,adult,2016LA_Mapped_Euterpe
556,115,193,adult,2016LA_Mapped_Euterpe
558,114,195,adult,2016LA_Mapped_Euterpe
591,138,130.5,adult,2016LA_Mapped_Euterpe
598,142.5,129,adult,2016LA_Mapped_Euterpe
604,149.5,132.8,adult,2016LA_Mapped_Euterpe
646,134,173.5,adult,2016LA_Mapped_Euterpe
833,143.6,68.05,adult,2016LA_Mapped_Euterpe
2209,133.2,41,adult,2016LA_Mapped_Euterpe
2303,154.1,69.05,adult,2016LA_Mapped_Euterpe
2622,35.3,126.83,adult,2016LA_Mapped_Euterpe
2770,167.8,24.5,adult,2016LA_Mapped_Euterpe
2822,193.5,54,adult,2016LA_Mapped_Euterpe
3117,73,17.2,adult,2016LA_Mapped_Euterpe
3147,77.3,24.5,adult,2016LA_Mapped_Euterpe
3173,110,13,adult,2016LA_Mapped_Euterpe
3214,176.4,173.5,adult,2016LA_Mapped_Euterpe
3292,169.5,194,adult,2016LA_Mapped_Euterpe
3293,169.4,195.1,adult,2016LA_Mapped_Euterpe
3296,162,195.9,adult,2016LA_Mapped_Euterpe
3336,42,191,adult,2016LA_Mapped_Euterpe
3346,30.5,195.2,adult,2016LA_Mapped_Euterpe
3348,25.3,199.7,adult,2016LA_Mapped_Euterpe
3540,0.9,99.6,adult,2016LA_Mapped_Euterpe
3609,24,63.7,adult,2016LA_Mapped_Euterpe
3935,162.5,59.8,adult,2016LA_Mapped_Euterpe
3945,28,185,adult,2016LA_Mapped_Euterpe
4000,197.5,191,adult,2016LA_Mapped_Euterpe
4131,120,187,adult,2016LA_Mapped_Euterpe
4133,144,189,adult,2016LA_Mapped_Euterpe
V8567,80.8,139.4,adult,2016LA_Mapped_Euterpe
V6805,126.6,123.15,adult,2016LA_Mapped_Euterpe
240,76.5,165,adult,2016LA_Mapped_Euterpe
520,111.1,174,adult,2016LA_Mapped_Euterpe
666,150,189,adult,2016LA_Mapped_Euterpe
2705,129.3,22.7,adult,2016LA_Mapped_Euterpe
3659,14.2,28.5,adult,2016LA_Mapped_Euterpe
24,53.55,134.99,sapling,2040 LA DATA
25,51.83,133.94,sapling,2041 LA DATA
30,59.03,105.27,sapling,2046 LA DATA
32,60.1,100.2,sapling,2048 LA DATA
38,144.56,107.64,sapling,2054 LA DATA
41,131.66,124.99,sapling,2057 LA DATA
47,147.17,122.64,sapling,2063 LA DATA
51,150.28,58.4,sapling,2067 LA DATA
52,160.05,49.03,sapling,2068 LA DATA
53,156.97,47.56,sapling,2069 LA DATA
57,147.26,23.89,sapling,2073 LA DATA
62,137.81,27.58,sapling,2079 LA DATA
63,137.81,27.58,sapling,2080 LA DATA
68,119.29,32.25,sapling,2085 LA DATA
69,122.5,122.8,sapling,2086 LA DATA
74,97.56,48.5,sapling,2091 LA DATA
75,94.18,46.82,sapling,2092 LA DATA
76,55.83,28.61,sapling,2093 LA DATA
77,59.21,36.67,sapling,2094 LA DATA
79,57.59,30.99,sapling,2096 LA DATA
81,38.59,33.01,sapling,2098 LA DATA
82,45.01,32.38,sapling,2099 LA DATA
84,43.54,67.32,sapling,2101 LA DATA
93,25.67,111.83,sapling,2110 LA DATA
97,27.67,101.82,sapling,2114 LA DATA
102,27.69,145.62,sapling,2119 LA DATA
103,28.51,131.55,sapling,2120 LA DATA
107,37.73,173.7,sapling,2124 LA DATA
109,56.65,159.88,sapling,2126 LA DATA
114,83.57,162.56,sapling,2131 LA DATA
116,86.85,172.37,sapling,2133 LA DATA
120,114.26,154.82,sapling,2137 LA DATA
121,102.8,153.78,sapling,2138 LA DATA
122,106.28,152.61,sapling,2139 LA DATA
124,102.42,161.11,sapling,2141 LA DATA
126,140.54,145.77,sapling,2143 LA DATA
127,134.01,152.34,sapling,2144 LA DATA
129,153.73,161.63,sapling,2146 LA DATA
130,157.62,160.45,sapling,2147 LA DATA
131,156,159.68,sapling,2148 LA DATA
V5974,127.8,112.5,sapling,2016LA_Mapped_Euterpe
01R,166.12,137.95,sapling,2151 LA DATA
02R,167.76,100.22,sapling,2152 LA DATA
08R,159.36,70.62,sapling,2158 LA DATA
09R,165.47,65.75,sapling,2159 LA DATA
15R,132.68,47.65,sapling,2165 LA DATA
18R,124.49,30.43,sapling,2168 LA DATA
19R,116.98,28.21,sapling,2169 LA DATA
21R,117.62,32.34,sapling,2171 LA DATA
24R,57.5,40.6,sapling,2174 LA DATA
27R,32.51,71.85,sapling,2177 LA DATA
28R,29.99,73.88,sapling,2178 LA DATA
29R,33.53,75.83,sapling,2179 LA DATA
30R,42.35,85.73,sapling,2180 LA DATA
38R,37.37,139.07,sapling,2188 LA DATA
45R,97.01,172.38,sapling,2195 LA DATA
61R,179.21,168.2,sapling,2211 LA DATA
R100,127.8,56.4,sapling,2016LA_ExhaustiveSearch_Euterpe
R1047,84,112.1,sapling,2016LA_Mapped_Euterpe
R1093,148.8,112.9,sapling,2016LA_Mapped_Euterpe
R14,134.8,62.33,sapling,2016LA_ExhaustiveSearch_Euterpe
R1572,62.5,132.6,sapling,2016LA_Mapped_Euterpe
R18,94.9,74.9,sapling,2016LA_ExhaustiveSearch_Euterpe
R27,117.35,96.2,sapling,2016LA_ExhaustiveSearch_Euterpe
R28,64.6,82.68,sapling,2016LA_ExhaustiveSearch_Euterpe
R314,71.7,59,sapling,2016LA_Mapped_Euterpe
R45a,71.9,91.3,sapling,2016LA_ExhaustiveSearch_Euterpe
R518,111.5,59,sapling,2016LA_Mapped_Euterpe
R57,58.6,95.55,sapling,2016LA_ExhaustiveSearch_Euterpe
R6,57.7,77.25,sapling,2016LA_ExhaustiveSearch_Euterpe
R62,125.8,56.3,sapling,2016LA_ExhaustiveSearch_Euterpe
R63,132.4,64,sapling,2016LA_ExhaustiveSearch_Euterpe
R641,118,96.3,sapling,2016LA_Mapped_Euterpe
R77,50.2,99.2,sapling,2016LA_ExhaustiveSearch_Euterpe
R8,80.95,87.15,sapling,2016LA_ExhaustiveSearch_Euterpe
R84,118.9,78.25,sapling,2016LA_ExhaustiveSearch_Euterpe
V1252,107.3,55.1,sapling,2016LA_Mapped_Euterpe
V1317,107.1,70.8,sapling,2016LA_Mapped_Euterpe
V1587,112.8,64,sapling,2016LA_Mapped_Euterpe
V2022,138,52.6,sapling,2016LA_Mapped_Euterpe
V2033,137.6,54.6,sapling,2016LA_Mapped_Euterpe
V2970,103.9,76.7,sapling,2016LA_Mapped_Euterpe
V3458,118.2,99.7,sapling,2016LA_Mapped_Euterpe
V3757,85.5,84.2,sapling,2016LA_Mapped_Euterpe
V4753,60.5,115.97,sapling,2016LA_Mapped_Euterpe
V5695,108.3,103.95,sapling,2016LA_Mapped_Euterpe
V6153,100.2,101.57,sapling,2016LA_Mapped_Euterpe
V6207,102.3,115.2,sapling,2016LA_Mapped_Euterpe
V6680,135.8,103.9,sapling,2016LA_Mapped_Euterpe
V7364,131.7,125.55,sapling,2016LA_Mapped_Euterpe
V7682,119.1,139.65,sapling,2016LA_Mapped_Euterpe
V7997,102.3,126.5,sapling,2016LA_Mapped_Euterpe
V8064,102.5,139.7,sapling,2016LA_Mapped_Euterpe
