tag,x,y,stage,notes
V3967,117.2,98.8,adult,2016 recruit (in Varun's database as mapped sapling)
24,69.1,68.4,adult,
305,95.7,111.3,adult,
310,95,123.1,adult,"broken by another tree (dead), but still able to get tissue sample"
461,97.4,144.1,adult,
478,82.6,125.3,adult,
624,137.3,27,adult,
831,174.8,152.9,adult,
833,171.9,158.6,adult,
848,159.5,167.5,adult,
861,148.8,162.2,adult,
900,104.3,152.7,adult,
945,70.5,171.2,adult,
1058,61.4,11.5,adult,
1062,67,16.5,adult,
1063,63.1,20,adult,
1451,135.6,181.3,adult,
1561,22.4,190.4,adult,
1562,20.5,192.1,adult,
1684,11.9,106.3,adult,
1716,17.7,86.3,adult,missing tag but correct location for 1716; sample label also 'T3'
1774,1.1,27.1,adult,
2012,65.8,2.5,adult,
2264,134.5,177,adult,
RF173,26.2,11.9,adult,
RF229,40.1,61.1,adult,
RF302,27.3,140.2,adult,
RF306,30.6,141.6,adult,2014 recruit 
RF423A,174.7,191.8,adult,
V5019,61.8,82.1,adult,2014 recruit; DBH from '14 must be incorrect (typo?)
2250,87.6,187.1,adult,not sure why this one has a tag number but also a reference tree in my notes…
T12,,,adult,outside of plot see GPS
T2,8.06,34.1,adult,had trouble reading reference tree tag number; also on GPS
T3,17.8,86.65,adult,also marked on GPS
T7,,,adult,outside of plot see GPS
T8,,,adult,outside of plot see GPS
T9,,,adult,outside of plot see GPS
T1,177.6,162.92,sapling,height not listed for some reason; obviously a sapling though given DBH
V710,94,97.6,sapling,
V8612,125.6,144.6,sapling,my height estimate must have been off for this or it lost a branch or something because the 2014 data lists this individuals as 2.4 meters tall
V173,56.8,60.2,sapling,
V56,138,63,sapling,
V9145,107,144.2,sapling,
V1249,77.6,139.6,sapling,
V7632,137,121.2,sapling,
V631,70,71.3,sapling,
V928,140.3,128.5,sapling,
V9522,103.9,137.9,sapling,
V9554,100.4,144,sapling,my DBH is a little smaller than the 2014 dbh here (which was 3.8)
V3842,134.8,93.2,sapling,
V4092,111.5,87.3,sapling,
V8439,130.6,139.6,sapling,missing tag but in correct location for V8439
V10100,84.6,142.6,sapling,
V7330,138.4,101,sapling,
V4081,114.5,83.1,sapling,
V9539,100.1,143.2,sapling,
V991,144.7,141.7,sapling,
V3941,117.5,92,sapling,missing tag but correct location for 3941
V4279,110,99,sapling,
V4448,100.3,96.2,sapling,
V995,141.6,142.6,sapling,
V2662,115.3,51,sapling,Something odd with tag name here- missing V in one of the datasets
V4437,104.4,91.7,sapling,missing tag but correct location for V4437; height not recorded for some reason
OY22,133.2,58.36,sapling,"line 17; may be a duplicate so check map for 2 in the same place (delete one if so). Subplot 4. Also from V2536: 0.5 N, 0.25 E"
OY29,,,sapling,outside of plot see GPS
OY36,,,sapling,outside of plot see GPS
OY40,,,sapling,outside of plot see GPS
OY44,,,sapling,outside of plot see GPS
OY47,97.25,97.15,sapling,may be a duplicate so check map for 2 in same place (delete one if so). Line 50. Also 2 W of V6369
OY53,127.38,67.87,sapling,"line 16. Also 1 S, 0.3 E of V2897"
OY57,49,102,sapling,Also 1 S of R692. Probably not a duplicate but check on map to make sure there are not 2 in this location. The coin envelope was put in the sample bag initially without a label; hence there is a chance the sample is mis-labelled. Should only be used for allelic richness and not SGS analysis or parentage analysis.
OY90,144.93,144.29,sapling,
OY95,97.48,117.2,sapling,
R150 *,122.54,62.44,sapling,* Tagged by Varun (not a bird tag).  But not on sapling map from Varun
R355 *,161.4,77.5,sapling,"* Tagged by Varun (not a bird tag).  Line 40, not on sapling map."
T10,,,sapling,outside of plot see GPS; also has bird tag 86 on it
T11,,,sapling,outside of plot see GPS
T13,,,sapling,outside of plot see GPS
T14,,,sapling,outside of plot see GPS
T15,49.5,119.7,sapling,"accidentally made 2 'T15's'; one in RA (this one) and one in TRC (now called 'T15A'); when looking at sample envelopes, the earlier date will be the RA one, and the later date is from TRC"
T16,81.43,70.07,sapling,
T17,141.23,53.75,sapling,
T5,,,sapling,"outside of plot see GPS; along trail leading to plot; DBH not taken but judging from other samples, this would very likely qualify as a 'sapling'"
T6,,,sapling,"outside of plot see GPS; along trail leading to plot; DBH not taken but judging from other samples, this would very likely qualify as a 'sapling'"
O37,166.7,78.5,sapling,"height may be entered wrong, unclear if adult or sapling (needs remeasuring)"
