tag,x,y,stage,srcsheet
146a,127,93.2,adult,TRC_2016_MappedEuterps
275,62.3,105,adult,TRC_2016_MappedEuterps
378,138.3,108.4,adult,TRC_2016_MappedEuterps
754,155.7,27.3,adult,TRC_2016_MappedEuterps
904,160.15,137,adult,TRC_2016_MappedEuterps
953,172,154.3,adult,TRC_2016_MappedEuterps
971,163.7,171.5,adult,TRC_2016_MappedEuterps
2042,49.7,74.5,adult,TRC_2016_MappedEuterps
2079,101.2,195,adult,TRC_2016_MappedEuterps
2088,158.5,197.5,adult,TRC_2016_MappedEuterps
2209,38.7,32.5,adult,TRC_2016_MappedEuterps
2251,16,124,adult,TRC_2016_MappedEuterps
3140,185.2,171,adult,TRC_2016_MappedEuterps
3165,184.9,198.7,adult,TRC_2016_MappedEuterps
3221,144.5,189.5,adult,TRC_2016_MappedEuterps
3285,109.94,185.8,adult,TRC_2016_MappedEuterps
3749,9,111.7,adult,TRC_2016_MappedEuterps
T21,193.35,176.25,adult,TRC_ExhaustiveSearch_2016
T23,202,189.9,adult,TRC_ExhaustiveSearch_2016
T24,112.63,219.2,adult,TRC_ExhaustiveSearch_2016
TRCex03,,,adult,TRC_2017only
TRCex05,,,adult,TRC_2017only
TRCex07,,,adult,TRC_2017only
TRCex08,,,adult,TRC_2017only
TRCex09,,,adult,TRC_2017only
TRCex11,,,adult,TRC_2017only
TRCex12,,,adult,TRC_2017only
V5109,66.3,111.6,adult,TRC_2016_MappedEuterps
V5259,61.9,119.8,adult,TRC_2016_MappedEuterps
V6005,103,116.1,adult,TRC_2016_MappedEuterps
1,,,sapling,TRC_2017only
20,27.19,79.12,sapling,TRC_2017only
21,26.99,81.01,sapling,TRC_2017only
27,22.7,89.32,sapling,TRC_2017only
64,74.12,165.62,sapling,TRC_2017only
65,80.75,177.47,sapling,TRC_2017only
76,169.9,156.9,sapling,TRC_2017only
90,162.71,109.15,sapling,TRC_2017only
98,169.72,88.62,sapling,TRC_2017only
99,171.34,88.54,sapling,TRC_2017only
108,162.91,53.21,sapling,TRC_2017only
109,164.76,54.1,sapling,TRC_2017only
125,165.04,32.34,sapling,TRC_2017only
130,123.98,42.42,sapling,TRC_2017only
131,114.18,35.6,sapling,TRC_2017only
08E,30.63,71.57,sapling,TRC_2017only
P100,99.4,78,sapling,TRC_ExhaustiveSearch_2016
P13,71,55,sapling,TRC_ExhaustiveSearch_2016
P29,153,65,sapling,TRC_ExhaustiveSearch_2016
P37,144.8,53.3,sapling,TRC_ExhaustiveSearch_2016
P55,72.62,84.83,sapling,TRC_ExhaustiveSearch_2016
P75,108.8,92.9,sapling,TRC_ExhaustiveSearch_2016
P81,72.97,99.1,sapling,TRC_ExhaustiveSearch_2016
P85,150.3,77.2,sapling,TRC_ExhaustiveSearch_2016
R1479,93,86.9,sapling,TRC_2016_MappedEuterps
R1480,93,87.6,sapling,TRC_2016_MappedEuterps
R1666,133,145.4,sapling,TRC_2016_MappedEuterps
R1682,111,145.4,sapling,TRC_2016_MappedEuterps
R1754,101.1,142.6,sapling,TRC_2016_MappedEuterps
R1921,94,138.5,sapling,TRC_2016_MappedEuterps
R324,69,64,sapling,TRC_2016_MappedEuterps
R580,87,90.3,sapling,TRC_2016_MappedEuterps
R584,90,94,sapling,TRC_2016_MappedEuterps
R843,73,88,sapling,TRC_2016_MappedEuterps
T15A,163.8,32,sapling,TRC_ExhaustiveSearch_2016
T18,175.4,163.7,sapling,TRC_ExhaustiveSearch_2016
T19,172.8,170.8,sapling,TRC_ExhaustiveSearch_2016
T20,121.6,91.6,sapling,TRC_ExhaustiveSearch_2016
T22,187.2,187.4,sapling,TRC_ExhaustiveSearch_2016
T25,56.7,117.3,sapling,TRC_ExhaustiveSearch_2016
T26,39,102,sapling,TRC_ExhaustiveSearch_2016
T38,94.2,138.7,sapling,TRC_ExhaustiveSearch_2016
T49,114.1,149,sapling,TRC_ExhaustiveSearch_2016
T50,115,156.5,sapling,TRC_ExhaustiveSearch_2016
T58,132,133.6,sapling,TRC_ExhaustiveSearch_2016
T76,142.5,136.97,sapling,TRC_ExhaustiveSearch_2016
TRCex01,,,sapling,TRC_2017only
TRCex02,,,sapling,TRC_2017only
TRCex04,,,sapling,TRC_2017only
TRCex06,,,sapling,TRC_2017only
TRCex10,,,sapling,TRC_2017only
V2984,123,90.6,sapling,TRC_2016_MappedEuterps
V389,68.1,61.2,sapling,TRC_2016_MappedEuterps
V4415,51.2,78.2,sapling,TRC_2016_MappedEuterps
V7267,149.1,116.2,sapling,TRC_2016_MappedEuterps
V7998,123.1,148.65,sapling,TRC_2016_MappedEuterps
V8447,101.6,141.1,sapling,TRC_2016_MappedEuterps
V8524,105.9,143.31,sapling,TRC_2016_MappedEuterps
V8601,95.4,140.92,sapling,TRC_2016_MappedEuterps
Y3,130.6,101.1,sapling,TRC_ExhaustiveSearch_2016
Y5,75.55,106.42,sapling,TRC_ExhaustiveSearch_2016
Y57,43,90.6,sapling,TRC_ExhaustiveSearch_2016
Y65,70.68,88.79,sapling,TRC_ExhaustiveSearch_2016
Y7,113.05,112.8,sapling,TRC_ExhaustiveSearch_2016
Y77,105.15,118.33,sapling,TRC_ExhaustiveSearch_2016
Y85,55.8,80.75,sapling,TRC_ExhaustiveSearch_2016
Y99,60.8,76.57,sapling,TRC_ExhaustiveSearch_2016
R1112,63.9,86.3,sapling,TRC_2016_MappedEuterps
V1567,127.25,56.25,sapling,TRC_2016_MappedEuterps
2,,,seedling,TRC_2017only
3,31.54,50.53,seedling,TRC_2017only
4,43.53,51.26,seedling,TRC_2017only
5,50.87,67.44,seedling,TRC_2017only
6,,,seedling,TRC_2017only
7,25.09,50.41,seedling,TRC_2017only
