site,ID,height_m,stage
TRC,38E,0.03,Seedling
RA,O47,0.05,Seedling
RA,O80,0.05,Seedling
TRC,29E,0.06,Seedling
TRC,121,0.06,Seedling
RA,R23,0.06,Seedling
RA,O72,0.06,Seedling
RA,O70,0.06,Seedling
RA,O29,0.06,Seedling
RA,W9,0.06,Seedling
RA,W76,0.06,Seedling
LA,2,0.07,Seedling
TRC,53E,0.07,Seedling
TRC,54E,0.07,Seedling
TRC,49,0.07,Seedling
TRC,120,0.07,Seedling
TRC,139,0.07,Seedling
TRC,140,0.07,Seedling
RA,R36,0.07,Seedling
RA,O26,0.07,Seedling
RA,O44,0.07,Seedling
RA,W4,0.07,Seedling
RA,W17,0.07,Seedling
TRC,58,0.08,Seedling
TRC,45,0.08,Seedling
TRC,80,0.08,Seedling
TRC,112,0.08,Seedling
TRC,69,0.08,Seedling
RA,R21,0.08,Seedling
RA,O50,0.08,Seedling
RA,O48,0.08,Seedling
RA,W46,0.08,Seedling
RA,W47,0.08,Seedling
RA,W71,0.08,Seedling
LA,119,0.09,Seedling
TRC,24,0.09,Seedling
TRC,136,0.09,Seedling
TRC,55E,0.09,Seedling
RA,R13,0.09,Seedling
RA,O73,0.09,Seedling
RA,O43,0.09,Seedling
RA,W1,0.09,Seedling
RA,W35,0.09,Seedling
LA,07R,0.1,Seedling
LA,28,0.1,Seedling
LA,96,0.1,Seedling
TRC,9,0.1,Seedling
TRC,16E,0.1,Seedling
TRC,30E,0.1,Seedling
TRC,18,0.1,Seedling
TRC,19,0.1,Seedling
TRC,16,0.1,Seedling
TRC,12,0.1,Seedling
TRC,141,0.1,Seedling
TRC,37E,0.1,Seedling
TRC,83,0.1,Seedling
TRC,17,0.1,Seedling
TRC,15,0.1,Seedling
TRC,66E,0.1,Seedling
TRC,82,0.1,Seedling
TRC,50,0.1,Seedling
TRC,11,0.1,Seedling
TRC,13,0.1,Seedling
TRC,35,0.1,Seedling
TRC,36,0.1,Seedling
TRC,37,0.1,Seedling
TRC,145,0.1,Seedling
TRC,39E,0.1,Seedling
TRC,60,0.1,Seedling
TRC,3,0.1,Seedling
TRC,14,0.1,Seedling
TRC,26E,0.1,Seedling
TRC,54,0.1,Seedling
TRC,P41,0.1,Seedling
TRC,P35,0.1,Seedling
TRC,P18,0.1,Seedling
TRC,P6,0.1,Seedling
TRC,P4,0.1,Seedling
TRC,P84,0.1,Seedling
TRC,P76,0.1,Seedling
TRC,P57,0.1,Seedling
TRC,Y41,0.1,Seedling
TRC,Y97,0.1,Seedling
TRC,Y72,0.1,Seedling
TRC,Y36,0.1,Seedling
TRC,Y31,0.1,Seedling
TRC,Y14,0.1,Seedling
TRC,Y19,0.1,Seedling
TRC,Y55,0.1,Seedling
TRC,Y12,0.1,Seedling
TRC,Y96,0.1,Seedling
TRC,Y9,0.1,Seedling
TRC,Y10,0.1,Seedling
TRC,Y2,0.1,Seedling
TRC,Y13,0.1,Seedling
TRC,Y82,0.1,Seedling
TRC,Y54,0.1,Seedling
TRC,Y28,0.1,Seedling
TRC,Y4,0.1,Seedling
TRC,T28,0.1,Seedling
TRC,T29,0.1,Seedling
TRC,T32,0.1,Seedling
TRC,T33,0.1,Seedling
