Site,Cohort,Locus,NAe,Ar,He,Ho,Fi,p,Fij1,bFlog,Sp,mean_avg_kinship_jknfd,mean_avg_kinship_jknfd_SE,n_ints,avg_pairwise_kinship,jackknifed_avg_Fij,jackknifed_avg_Fij_SE
RA,adult,Multilocus_avg,1.83,3.17,0.4312,0.398,0.078,0.236,-0.0023,,,,,,,,
RA,adult,Ep03,1.57,2.73,0.3633,0.348,0.043,0.7981,-0.001,,,,,,,,
RA,adult,Ep05,1.84,3.41,0.457,0.348,0.243,0.1362,-0.0056,,,,,,,,
RA,adult,Ep02,1.65,3,0.3939,0.455,-0.163,0.5681,0.0081,,,,,,,,
RA,adult,Ep32,1.79,3.35,0.4423,0.4,0.098,0.5736,-0.0026,,,,,,,,
RA,adult,Ep06,2.82,4.38,0.6459,0.455,0.301,0.031,-0.0072,,,,,,,,
RA,adult,Ep35,1.59,2,0.372,0.391,-0.053,0.8481,0.0012,,,,,,,,
RA,adult,Ep08,1.52,3.31,0.344,0.391,-0.141,0.3807,0.0032,,,,,,,,
LA,adult,Multilocus_avg,1.97,3.22,0.3867,0.342,0.118,0.0303,-0.0016,,,,,,,,
LA,adult,Ep03,2.25,4.78,0.5553,0.432,0.224,0.1103,-0.0031,,,,,,,,
LA,adult,Ep05,3.05,3,0.6719,0.579,0.14,0.2335,-0.0019,,,,,,,,
LA,adult,Ep02,1.1,3,0.089,0.091,-0.021,0.9531,0.0003,,,,,,,,
LA,adult,Ep32,1.24,2,0.1909,0.211,-0.104,0.6669,0.0014,,,,,,,,
LA,adult,Ep06,3.1,3.87,0.6775,0.579,0.147,0.2006,-0.002,,,,,,,,
LA,adult,Ep35,1,1,0,0,,,,,,,,,,,
LA,adult,Ep08,2.09,4.87,0.5221,0.5,0.043,0.6575,-0.0006,,,,,,,,
TRC,adult,Multilocus_avg,1.66,2.55,0.2569,0.253,0.014,0.8403,-0.0003,,,,,,,,
TRC,adult,Ep03,1.1,2,0.0888,0.091,-0.024,0.9754,0.0006,,,,,,,,
TRC,adult,Ep05,2.56,3.95,0.6099,0.727,-0.198,0.2472,0.0047,,,,,,,,
TRC,adult,Ep02,1,1,0,0,,,,,,,,,,,
TRC,adult,Ep32,1.26,2,0.2061,0.227,-0.105,0.7752,0.0025,,,,,,,,
TRC,adult,Ep06,3.53,4.95,0.7178,0.636,0.116,0.3854,-0.0028,,,,,,,,
TRC,adult,Ep35,1.05,1.95,0.0455,0.045,0,0.9535,0,,,,,,,,
TRC,adult,Ep08,1.15,2,0.13,0.045,0.656,0.0668,-0.0158,,,,,,,,
RA,seedling,Multilocus_avg,1.92,4.7,0.4313,0.4,0.074,0.0067,0.0122,-0.00486756,0.004927678,-0.0004,,14,,,
RA,seedling,Ep03,1.52,3.99,0.3428,0.313,0.087,0.2272,0.0098,0.00486849,-0.004916673,,,14,,,
RA,seedling,Ep05,2.02,4,0.5038,0.461,0.086,0.2058,-0.0365,0.000404155,-0.000389923,,,14,,,
RA,seedling,Ep02,1.36,6,0.2657,0.267,-0.004,0.9602,0.0297,-0.00896888,0.009243409,,,14,,,
RA,seedling,Ep32,1.7,5,0.4122,0.435,-0.055,0.4009,-0.0075,0.00133497,-0.001325032,,,14,,,
RA,seedling,Ep06,3.54,5.99,0.7173,0.643,0.103,0.0636,0.0175,-0.01052,0.010707379,,,14,,,
RA,seedling,Ep35,1.63,2,0.3873,0.33,0.147,0.1267,0.0768,-0.0144351,0.01563594,,,14,,,
RA,seedling,Ep08,1.64,5.91,0.3902,0.348,0.109,0.0705,0.0087,-0.00561506,0.00566434,,,14,,,
LA,seedling,Multilocus_avg,1.99,4.41,0.4067,0.399,0.019,0.4832,0.0125,-0.00542265,0.005491291,-0.0001,,14,,,
LA,seedling,Ep03,2.05,4.99,0.5118,0.58,-0.134,0.0935,0.0239,0.00247566,-0.002536277,,,14,,,
LA,seedling,Ep05,2.82,4,0.6452,0.639,0.01,0.8705,0.029,-0.0118622,0.012216478,,,14,,,
LA,seedling,Ep02,1.27,4,0.2156,0.187,0.133,0.0928,-0.0187,0.00107351,-0.001053804,,,14,,,
LA,seedling,Ep32,1.21,4.98,0.1732,0.151,0.127,0.1129,-0.0007,-0.0029652,0.002963126,,,14,,,
LA,seedling,Ep06,3.29,4,0.6965,0.672,0.035,0.5576,0.0133,-0.00646202,0.006549123,,,14,,,
LA,seedling,Ep35,1.06,2.9,0.0575,0.025,0.563,0.0013,-0.0396,0.00711772,-0.006846595,,,14,,,
LA,seedling,Ep08,2.21,5.99,0.5469,0.538,0.017,0.7569,0.0042,-0.00794513,0.00797864,,,14,,,
