Dist classes,Max distance,Number of pairs,% partic,CV partic,Mean distance,Mean ln(distance),Mean_jackniffed,SE,Site
1,23,612,94.4,0.71,13.8496,2.4414,0.0076,0.0074,TRC
2,35,578,93.1,0.62,29.3673,3.3729,-0.0015,0.0054,TRC
3,40,275,81.3,0.83,37.4513,3.6223,-0.0022,0.0164,TRC
4,50,592,98.6,0.63,44.8312,3.8007,0,0.0118,TRC
5,60,628,96.5,0.62,55.5208,4.0154,-0.0021,0.0109,TRC
6,70,744,95.8,0.63,64.9466,4.1725,-0.003,0.0103,TRC
7,80,663,94.4,0.6,74.8533,4.3148,0.0003,0.0065,TRC
8,90,655,96.5,0.58,85.0909,4.4432,0.0249,0.0082,TRC
9,100,663,97.9,0.54,94.894,4.5523,0.01,0.0116,TRC
10,110,679,95.1,0.61,105.1744,4.6553,0.0045,0.0124,TRC
11,120,512,95.8,0.7,114.4895,4.7402,-0.0055,0.0048,TRC
12,140,626,95.8,0.89,128.4327,4.8544,0.0026,0.0102,TRC
13,160,275,70.1,1.35,147.8604,4.9955,-0.0099,0.0172,TRC
14,180,80,40.3,1.87,167.0347,5.1178,-0.0132,0.0195,TRC
15,200,24,16,2.65,189.0232,5.2414,0.0377,0.0112,TRC
16,226.8077,6,4.9,5.76,212.0419,5.3558,0.0438,0.0481,TRC
1,23,660,95.7,0.66,13.4105,2.4233,0.016,0.0084,RA
2,35,477,90.6,0.67,29.0031,3.3606,0.0016,0.0069,RA
3,40,199,82.6,0.85,37.4138,3.6214,0.0235,0.0162,RA
4,50,307,94.2,0.62,44.8228,3.8007,0.003,0.0077,RA
5,60,357,92,0.67,54.6273,3.9992,-0.0096,0.0074,RA
6,70,373,94.2,0.65,64.8863,4.1716,-0.0053,0.0051,RA
7,80,355,95.7,0.71,74.8496,4.3148,0.0152,0.0115,RA
8,90,357,95.7,0.77,85.1271,4.4436,-0.0055,0.0106,RA
9,100,363,95.7,0.8,94.9834,4.5533,-0.0045,0.0084,RA
10,110,398,95.7,0.71,105.2815,4.6562,0.0157,0.0058,RA
11,120,538,97.1,0.66,115.1276,4.7457,-0.0003,0.0076,RA
12,140,1392,98.6,0.52,130.2507,4.8685,-0.0035,0.0052,RA
13,160,847,90.6,0.89,147.8836,4.9958,-0.0027,0.0089,RA
14,180,153,57.2,1.71,167.3036,5.1193,0.0148,0.017,RA
15,200,27,18.8,2.68,187.759,5.2347,-0.0517,0.0279,RA
16,204.6167,5,5.1,4.9,201.8681,5.3076,0.0495,0.1173,RA
