"d1","d2","d3","bFlin","bFlog","metric","Locus","Site"
"0.0107346","0.0102826","-0.0315754","-0.000411368","-0.0379469","obs_val","All_loci","RA"
"-0.00223945","-0.00243839","-0.00224584","2.54683E-007","-1.58953E-006","mean_perm_val","All_loci","RA"
"0.0155644","0.0126732","0.0145796","0.000198601","0.0150535","SD_perm_val","All_loci","RA"
"-0.0303545","-0.0278208","-0.0335067","-0.000444849","-0.0316906","lower.95","All_loci","RA"
"0.0301653","0.0218678","0.0241874","0.000326901","0.0268533","upper.95","All_loci","RA"
"0.8020","0.8436","0.0320","0.0328","0.0112","p_obs_lessthan_exp","All_loci","RA"
"0.1980","0.1564","0.9681","0.9673","0.9888","p_obs_grtr_exp","All_loci","RA"
"0.3960","0.3128","0.0639","0.0655","0.0224","p_obs_lessthanorgrtr_exp","All_loci","RA"
"0.0101","0.0110","-0.0323","-0.000401096","-0.0369161","mean_jkn_val","All_loci","RA"
"0.0270","0.0182","0.0197","0.000274933","0.0285377","jkn_SE","All_loci","RA"
"-0.0356","0.0294","-0.0054","-0.000108122","-0.0149806","obs_val","Ep03","RA"
"0.1147","-0.0441","-0.0763","-0.001462","-0.151293","obs_val","Ep05","RA"
"0.0260","0.0964","-0.0733","-0.000627848","-0.0468449","obs_val","Ep02","RA"
"-0.0316","-0.0410","0.1018","0.000252023","-0.022502","obs_val","Ep32","RA"
"-0.0275","0.0427","-0.0541","2.10046E-005","0.0205562","obs_val","Ep06","RA"
"0.0425","0.0119","-0.0537","-0.000729619","-0.0577119","obs_val","Ep35","RA"
"-0.0028","0.0305","-0.0259","-0.000268943","-0.00608271","obs_val","Ep08","RA"
"0.00453109","0.0027087","-0.0112393","-0.000197888","-0.0158397","obs_val","All_loci","LA"
"-0.00162187","-0.00166325","-0.00150237","3.57024E-007","6.44158E-006","mean_perm_val","All_loci","LA"
"0.00902621","0.00988197","0.00812957","0.000114423","0.00905721","SD_perm_val","All_loci","LA"
"-0.0178976","-0.0216891","-0.0185393","-0.000253433","-0.0192451","lower.95","All_loci","LA"
"0.0172342","0.0170502","0.0131674","0.000190392","0.0161019","upper.95","All_loci","LA"
"0.7642","0.6676","0.1194","0.0555","0.0503","p_obs_lessthan_exp","All_loci","LA"
"0.2358","0.3324","0.8807","0.9446","0.9498","p_obs_grtr_exp","All_loci","LA"
"0.4716","0.6648","0.2387","0.1109","0.1005","p_obs_lessthanorgrtr_exp","All_loci","LA"
"0.0041","0.0026","-0.0109","-0.000193884","-0.016006","mean_jkn_val","All_loci","LA"
"0.0103","0.0064","0.0063","0.000160169","0.0115282","jkn_SE","All_loci","LA"
"0.0262","-0.0006","-0.0350","-0.00073069","-0.0470217","obs_val","Ep03","LA"
"0.0147","-0.0089","-0.0110","-0.000267192","-0.0283521","obs_val","Ep05","LA"
"-0.0144","-0.0040","0.0199","0.000158835","0.0111878","obs_val","Ep02","LA"
"0.0397","-0.0000","-0.0330","-0.000460446","-0.0217556","obs_val","Ep32","LA"
"-0.0122","0.0076","-0.0012","2.97951E-005","-0.00743574","obs_val","Ep06","LA"
"","","","","","obs_val","Ep35","LA"
"-0.0220","0.0214","-0.0006","0.000165541","0.0197238","obs_val","Ep08","LA"
"0.0226895","-0.0363875","0.0106639","-7.03389E-005","-0.0104754","obs_val","All_loci","TRC"
"-0.000324056","-0.000335219","-0.000374148","-1.19646E-006","-0.000122201","mean_perm_val","All_loci","TRC"
"0.0152472","0.0160524","0.0152914","0.000201589","0.0164416","SD_perm_val","All_loci","TRC"
"-0.0266789","-0.033111","-0.0347784","-0.000484715","-0.0373831","lower.95","All_loci","TRC"
"0.0332571","0.0296599","0.0254326","0.000302897","0.0270852","upper.95","All_loci","TRC"
"0.9255","0.0166","0.7579","0.3147","0.2370","p_obs_lessthan_exp","All_loci","TRC"
"0.0746","0.9838","0.2426","0.6853","0.7630","p_obs_grtr_exp","All_loci","TRC"
"0.1492","0.0328","0.4847","0.6294","0.4740","p_obs_lessthanorgrtr_exp","All_loci","TRC"
"0.0281","-0.0397","0.0086","-0.000134771","-0.0163487","mean_jkn_val","All_loci","TRC"
"0.0275","0.0133","0.0282","0.000349335","0.0301489","jkn_SE","All_loci","TRC"
"-0.0441","0.0220","0.0284","0.000532558","0.0439612","obs_val","Ep03","TRC"
"0.0018","-0.0362","0.0494","0.000228633","0.0132131","obs_val","Ep05","TRC"
"","","","","","obs_val","Ep02","TRC"
"-0.0233","0.0206","0.0127","0.000277934","0.0268759","obs_val","Ep32","TRC"
"0.0632","-0.0540","-0.0240","-0.000582828","-0.0551785","obs_val","Ep06","TRC"
"-0.0159","-0.0217","0.0396","0.000417292","0.0175807","obs_val","Ep35","TRC"
"0.0288","-0.0753","-0.0051","0.000221922","0.0189767","obs_val","Ep08","TRC"
