"obs_val","mean_perm_val","SD_perm_val","lower.95","upper.95","p_obs_lessthan_exp","p_obs_grtr_exp","p_obs_lessthanorgrtr_exp","mean_jkn_val","jkn_SE","Site","Max_distance"
"0.00730292","-0.000323258","0.00358009","-0.00658722","0.00739088","0.9740","0.0260","0.0520","0.0078","0.0049","RA","45.0000"
"-0.00830075","-0.000331018","0.00514203","-0.0104727","0.00972711","0.0607","0.9393","0.1214","-0.0088","0.0045","RA","70.0000"
"0.0021117","-0.000379346","0.00570699","-0.0116218","0.010802","0.6708","0.3293","0.6585","0.0022","0.0045","RA","90.0000"
"-0.00118638","-0.000320708","0.00386295","-0.00799837","0.00717239","0.4048","0.5953","0.8095","-0.0012","0.0034","RA","120.0000"
"-0.00256686","-0.000386142","0.00249435","-0.00592225","0.00395731","0.1775","0.8226","0.3549","-0.0027","0.0014","RA","200.0000"
"0.00273859","-9.67516E-005","0.00372142","-0.00673185","0.00780157","0.7875","0.2126","0.4251","0.0030","0.0026","LA","45.0000"
"0.00650954","-6.90016E-005","0.00350631","-0.00710985","0.00671746","0.9703","0.0297","0.0594","0.0064","0.0026","LA","70.0000"
"0.000229828","-8.48284E-005","0.00394136","-0.00794512","0.00760336","0.5291","0.4710","0.9419","0.0005","0.0027","LA","90.0000"
"-0.00479785","-8.62218E-005","0.00322927","-0.00660084","0.00607279","0.0742","0.9259","0.1483","-0.0051","0.0045","LA","120.0000"
"-0.00506007","-3.67705E-005","0.00365411","-0.00764207","0.00665453","0.0887","0.9113","0.1774","-0.0051","0.0040","LA","200.0000"
"-0.00241261","-0.000315373","0.00360611","-0.00653837","0.00757441","0.2916","0.7084","0.5832","-0.0025","0.0007","TRC","45.0000"
"-0.0057587","-0.000301942","0.0037898","-0.0078709","0.00699922","0.0757","0.9243","0.1514","-0.0068","0.0048","TRC","70.0000"
"0.00691827","-0.00026044","0.00441857","-0.00908327","0.00824853","0.9502","0.0499","0.0997","0.0075","0.0031","TRC","90.0000"
"-0.000150933","-0.000313432","0.00358836","-0.00767814","0.00648895","0.5068","0.4933","0.9865","0.0002","0.0022","TRC","120.0000"
"0.00270779","-0.000363176","0.00481047","-0.0105479","0.00852104","0.7356","0.2644","0.5288","0.0031","0.0034","TRC","200.0000"
