"Max distance","Number of pairs","% partic","CV partic","Mean distance","Mean ln(distance)","Site"
"45.0000","1467","100.0","0.31","24.6595","3.0233","RA"
"70.0000","837","100.0","0.33","57.7221","4.0479","RA"
"90.0000","667","100.0","0.52","80.0986","4.3806","RA"
"120.0000","1245","100.0","0.45","106.4486","4.6642","RA"
"200.0000","2339","100.0","0.34","138.9001","4.9298","RA"
"45.0000","1392","99.2","0.26","27.1463","3.1604","LA"
"70.0000","1478","100.0","0.35","57.8656","4.0503","LA"
"90.0000","1245","100.0","0.32","79.8130","4.3772","LA"
"120.0000","1720","100.0","0.28","105.0834","4.6513","LA"
"200.0000","1186","95.0","0.76","138.1229","4.9231","LA"
"45.0000","1750","100.0","0.33","27.6164","3.1575","TRC"
"70.0000","1603","100.0","0.38","58.5387","4.0623","TRC"
"90.0000","1291","100.0","0.33","79.9337","4.3785","TRC"
"120.0000","1807","100.0","0.30","104.0597","4.6418","TRC"
"200.0000","930","97.5","0.94","136.7596","4.9134","TRC"
