"locus","N","N_missing_genotypes","N_incomplete_genotypes","N_gene_copies","N_alleles","NAe","Ar","He","Ho","Fi","Pval","Site"
"multilocus_average","115","1.4 (1.2%)","0.0 (0.0%)","227.1","4.71","1.92","4.70","0.4313","0.400","0.074","0.0049","RA"
"Ep03","115","0 (0.0%)","0 (0.0%)","230","4","1.52","3.99","0.3428","0.313","0.087","0.2183","RA"
"Ep05","115","0 (0.0%)","0 (0.0%)","230","4","2.02","4.00","0.5038","0.461","0.086","0.2087","RA"
"Ep02","115","10 (8.7%)","0 (0.0%)","210","6","1.36","6.00","0.2657","0.267","-0.004","0.9585","RA"
"Ep32","115","0 (0.0%)","0 (0.0%)","230","5","1.70","5.00","0.4122","0.435","-0.055","0.4045","RA"
"Ep06","115","0 (0.0%)","0 (0.0%)","230","6","3.54","5.99","0.7173","0.643","0.103","0.0559","RA"
"Ep35","115","0 (0.0%)","0 (0.0%)","230","2","1.63","2.00","0.3873","0.330","0.147","0.1220","RA"
"Ep08","115","0 (0.0%)","0 (0.0%)","230","6","1.64","5.91","0.3902","0.348","0.109","0.0706","RA"
"multilocus_average","119","1.7 (1.4%)","0.0 (0.0%)","234.6","4.43","1.99","4.41","0.4067","0.399","0.019","0.4875","LA"
"Ep03","119","0 (0.0%)","0 (0.0%)","238","5","2.05","4.99","0.5118","0.580","-0.134","0.0891","LA"
"Ep05","119","0 (0.0%)","0 (0.0%)","238","4","2.82","4.00","0.6452","0.639","0.010","0.8727","LA"
"Ep02","119","12 (10.1%)","0 (0.0%)","214","4","1.27","4.00","0.2156","0.187","0.133","0.0841","LA"
"Ep32","119","0 (0.0%)","0 (0.0%)","238","5","1.21","4.98","0.1732","0.151","0.127","0.1075","LA"
"Ep06","119","0 (0.0%)","0 (0.0%)","238","4","3.29","4.00","0.6965","0.672","0.035","0.5603","LA"
"Ep35","119","0 (0.0%)","0 (0.0%)","238","3","1.06","2.90","0.0575","0.025","0.563","0.0009","LA"
"Ep08","119","0 (0.0%)","0 (0.0%)","238","6","2.21","5.99","0.5469","0.538","0.017","0.7543","LA"
"multilocus_average","122","2.0 (1.6%)","0.0 (0.0%)","240.0","4.43","1.78","4.41","0.3277","0.302","0.078","0.0070","TRC"
"Ep03","122","0 (0.0%)","0 (0.0%)","244","4","1.34","4.00","0.2553","0.254","0.005","0.8943","TRC"
"Ep05","122","0 (0.0%)","0 (0.0%)","244","4","2.44","4.00","0.5899","0.533","0.097","0.1683","TRC"
"Ep02","122","14 (11.5%)","0 (0.0%)","216","4","1.10","4.00","0.0899","0.074","0.177","0.0990","TRC"
"Ep32","122","0 (0.0%)","0 (0.0%)","244","5","1.39","4.87","0.2786","0.262","0.059","0.4374","TRC"
"Ep06","122","0 (0.0%)","0 (0.0%)","244","6","3.73","6.00","0.7317","0.680","0.070","0.1946","TRC"
"Ep35","122","0 (0.0%)","0 (0.0%)","244","2","1.04","2.00","0.0403","0.025","0.391","0.0419","TRC"
"Ep08","122","0 (0.0%)","0 (0.0%)","244","6","1.45","5.99","0.3080","0.287","0.069","0.2366","TRC"
