"d1","d2","d3","d4","d5","bFlin","bFlog","metric","Locus","Site"
"0.00730292","-0.00830075","0.0021117","-0.00118638","-0.00256686","-5.96873E-005","-0.00486756","obs_val","All_loci","RA"
"-0.000323258","-0.000331018","-0.000379346","-0.000320708","-0.000386142","-4.30882E-007","-2.09951E-005","mean_perm_val","All_loci","RA"
"0.00358009","0.00514203","0.00570699","0.00386295","0.00249435","4.13524E-005","0.00237048","SD_perm_val","All_loci","RA"
"-0.00658722","-0.0104727","-0.0116218","-0.00799837","-0.00592225","-9.65524E-005","-0.00533066","lower.95","All_loci","RA"
"0.00739088","0.00972711","0.010802","0.00717239","0.00395731","6.48429E-005","0.00397751","upper.95","All_loci","RA"
"0.9740","0.0607","0.6708","0.4048","0.1775","0.0841","0.0332","p_obs_lessthan_exp","All_loci","RA"
"0.0260","0.9393","0.3293","0.5953","0.8226","0.9160","0.9668","p_obs_grtr_exp","All_loci","RA"
"0.0520","0.1214","0.6585","0.8095","0.3549","0.1681","0.0664","p_obs_lessthanorgrtr_exp","All_loci","RA"
"0.0078","-0.0088","0.0022","-0.0012","-0.0027","-6.16061E-005","-0.00504683","mean_jkn_val","All_loci","RA"
"0.0049","0.0045","0.0045","0.0034","0.0014","3.20897E-005","0.00272356","jkn_SE","All_loci","RA"
"-0.0101","0.0020","-0.0130","0.0049","0.0056","0.000117504","0.00486849","obs_val","Ep03","RA"
"0.0042","-0.0109","0.0117","0.0015","-0.0040","-3.01912E-005","0.000404155","obs_val","Ep05","RA"
"0.0118","-0.0012","-0.0106","-0.0040","-0.0015","-0.00011133","-0.00896888","obs_val","Ep02","RA"
"-0.0034","-0.0030","0.0072","0.0129","-0.0051","-6.68795E-006","0.00133497","obs_val","Ep32","RA"
"0.0198","-0.0222","0.0001","-0.0037","-0.0038","-0.000102271","-0.01052","obs_val","Ep06","RA"
"0.0201","-0.0050","-0.0110","-0.0018","-0.0085","-0.000219991","-0.0144351","obs_val","Ep35","RA"
"0.0018","0.0006","0.0227","-0.0179","0.0003","-7.35793E-005","-0.00561506","obs_val","Ep08","RA"
"0.00273859","0.00650954","0.000229828","-0.00479785","-0.00506007","-9.99599E-005","-0.0054236","obs_val","All_loci","LA"
"-9.67516E-005","-6.90016E-005","-8.48284E-005","-8.62218E-005","-3.67705E-005","3.64012E-007","1.70075E-005","mean_perm_val","All_loci","LA"
"0.00372142","0.00350631","0.00394136","0.00322927","0.00365411","4.37611E-005","0.0026644","SD_perm_val","All_loci","LA"
"-0.00673185","-0.00710985","-0.00794512","-0.00660084","-0.00764207","-9.88923E-005","-0.00574775","lower.95","All_loci","LA"
"0.00780157","0.00671746","0.00760336","0.00607279","0.00665453","7.15366E-005","0.00462682","upper.95","All_loci","LA"
"0.7875","0.9703","0.5291","0.0742","0.0887","0.0237","0.0309","p_obs_lessthan_exp","All_loci","LA"
"0.2126","0.0297","0.4710","0.9259","0.9113","0.9764","0.9691","p_obs_grtr_exp","All_loci","LA"
"0.4251","0.0594","0.9419","0.1483","0.1774","0.0473","0.0618","p_obs_lessthanorgrtr_exp","All_loci","LA"
"0.0030","0.0064","0.0005","-0.0051","-0.0051","-0.000103106","-0.00566871","mean_jkn_val","All_loci","LA"
"0.0026","0.0026","0.0027","0.0045","0.0040","3.28898E-005","0.00255281","jkn_SE","All_loci","LA"
"-0.0034","0.0082","-0.0028","-0.0048","0.0070","1.5697E-005","0.00247406","obs_val","Ep03","LA"
"0.0102","-0.0003","0.0033","-0.0056","-0.0071","-0.00016211","-0.0118622","obs_val","Ep05","LA"
"-0.0046","0.0108","-0.0028","0.0003","-0.0082","-2.94439E-005","0.00107091","obs_val","Ep02","LA"
"-0.0045","0.0136","-0.0046","-0.0057","-0.0017","-7.56364E-005","-0.0029652","obs_val","Ep32","LA"
"0.0020","0.0117","0.0067","-0.0161","-0.0015","-0.000130009","-0.00646261","obs_val","Ep06","LA"
"-0.0068","0.0065","-0.0208","0.0099","-0.0068","7.80169E-005","0.00711772","obs_val","Ep35","LA"
"0.0060","0.0029","-0.0045","0.0081","-0.0181","-0.000140716","-0.00794703","obs_val","Ep08","LA"
"-0.00241261","-0.0057587","0.00691827","-0.000150933","0.00270779","4.33253E-005","0.000539622","obs_val","All_loci","TRC"
"-0.000315373","-0.000301942","-0.00026044","-0.000313432","-0.000363176","-1.58414E-007","4.48416E-006","mean_perm_val","All_loci","TRC"
"0.00360611","0.0037898","0.00441857","0.00358836","0.00481047","5.0356E-005","0.00276797","SD_perm_val","All_loci","TRC"
"-0.00653837","-0.0078709","-0.00908327","-0.00767814","-0.0105479","-0.000116924","-0.00612906","lower.95","All_loci","TRC"
"0.00757441","0.00699922","0.00824853","0.00648895","0.00852104","7.77594E-005","0.00469148","upper.95","All_loci","TRC"
"0.2916","0.0757","0.9502","0.5068","0.7356","0.8091","0.5433","p_obs_lessthan_exp","All_loci","TRC"
